"11/08/2023","-15.20","*","","SIP & SAVOR - SEATTLE"
"11/07/2023","-35.75","*","","URBAN BISTRO LUNCH"
"11/01/2023","-7.99","*","","ZEN TEA HAVEN - CUPERTINO"
"11/06/2023","-28.40","*","","FRIENDLY NEIGHBORHOOD MART"
"10/30/2023","-12.30","*","","CINEFUSION TICKETS"
"10/25/2023","-45.60","*","","FALL FASHIONISTA'S HUB"
"10/19/2023","-65.90","*","","BELLA NOTTE ITALIANA"
"10/14/2023","-8.50","*","","DAYBREAK BREW - COFFEE CORNER"
"10/10/2023","-29.75","*","","SUSHI SAGA"
"10/05/2023","-11.80","*","","PAPERBACK PARADISE"
"10/02/2023","-6.70","*","","SWEET TOOTH BAKERY DELIGHTS"
"09/28/2023","-55.20","*","","ESSENTIALS HAVEN"
"09/25/2023","-23.45","*","","PET PAMPER ZONE"
"09/20/2023","-17.90","*","","BEAUTY GALORE BOUTIQUE"
"09/15/2023","-11.99","*","","FUEL & GO - GAS GALAXY"
"09/10/2023","-48.60","*","","TECHNO SPOT"
"09/07/2023","-19.85","*","","GIFT & JOY GALLERY"
"09/02/2023","-25.40","*","","GOURMET GALA EXPERIENCE"
"08/30/2023","-14.30","*","","KITCHEN KRAZE HUB"
